codebook_group,family_slug,contract_role,codebook_variable_count,current_historical_panel_column_count,fixed_slow_area_asset_column_count,requirement_summary,notes
"01 Identifiers, location, and time",01_identifiers_location_and_time,key_or_identifier,5,5,0,Required or recommended identifier fields.,
02 Geography and spatial linkage,02_geography_and_spatial_linkage,identifier_or_static_geography,10,8,2,Optional source feature family in the base long panel.,
03 Terrain and physical geography,03_terrain_and_physical_geography,fixed_slow_feature,3,3,3,Join from G-03 fixed/slow area asset where used.,
"04 Agriculture, AEZ, and masks",04_agriculture_aez_and_masks,fixed_slow_feature,23,23,23,Join from G-03 fixed/slow area asset where used.,
05 FLDAS/GLDAS land-surface climate,05_fldas_gldas_land_surface_climate,monthly_dynamic_feature,56,56,0,Optional source feature family in the base long panel.,
06 Remote sensing vegetation and nightlights,06_remote_sensing_vegetation_and_nightlights,monthly_dynamic_feature,6,6,0,Optional source feature family in the base long panel.,
07 SoilGrids soil attributes,07_soilgrids_soil_attributes,fixed_slow_feature,5,5,5,Join from G-03 fixed/slow area asset where used.,
08 Conflict events and fatalities,08_conflict_events_and_fatalities,monthly_dynamic_feature,18,18,0,Optional source feature family in the base long panel.,
09 Food security / IPC,09_food_security_ipc,outcome,6,6,0,Outcome columns required for observed training rows; optional for forecast scaffold.,
"10 Demographic, socioeconomic, and macro",10_demographic_socioeconomic_and_macro,slow_or_country_time_feature,6,6,1,Optional source feature family in the base long panel.,
11 Food prices and inflation,11_food_prices_and_inflation,monthly_dynamic_feature,8,5,0,Optional source feature family in the base long panel.,
12 Bloomberg commodities and fertilizer/energy,12_bloomberg_commodities_and_fertilizer_energy,deferred_source_feature,19,0,0,Deferred until downstream feature engineering or source enrichment is handed over.,
13 Market access,13_market_access,fixed_slow_feature,2,2,2,Join from G-03 fixed/slow area asset where used.,
99 Other / review,99_other_review,deferred_source_feature,1,0,0,Deferred until downstream feature engineering or source enrichment is handed over.,
